Gene stable ID,Gene name,FlyBase gene ID,FlyBase gene name ID,NCBI gene (formerly Entrezgene) ID
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3771891
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772336
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3771957
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772299
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772058
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772265
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772013
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,326273
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772264
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772276
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772271
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772166
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772099
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772203
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772081
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772083
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772248
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772496
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3771809
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772094
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772104
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772502
FBgn0053882,His2B:CG33882,FBgn0053882,FBgn0053882,3772575
FBgn0035648,CG13288,FBgn0035648,FBgn0035648,38665
FBgn0032726,CG10621,FBgn0032726,FBgn0032726,35152
FBgn0034948,PPP1R15,FBgn0034948,FBgn0034948,37820
FBgn0036842,Ugt316A1,FBgn0036842,FBgn0036842,40079
FBgn0029656,CG10793,FBgn0029656,FBgn0029656,31308
FBgn0039558,BCAS2,FBgn0039558,FBgn0039558,43348
FBgn0025814,Mgstl,FBgn0025814,FBgn0025814,44110
