Gene stable ID,Gene Synonym,Gene name,NCBI gene (formerly Entrezgene) ID
ENSG00000210049,MTTF,MT-TF,
ENSG00000210049,trnF,MT-TF,
ENSG00000211459,12S,MT-RNR1,
ENSG00000211459,MOTS-c,MT-RNR1,
ENSG00000211459,MTRNR1,MT-RNR1,
ENSG00000210077,MTTV,MT-TV,
ENSG00000210077,trnV,MT-TV,
ENSG00000210082,16S,MT-RNR2,
ENSG00000210082,HN,MT-RNR2,
ENSG00000210082,MTRNR2,MT-RNR2,
ENSG00000209082,MTTL1,MT-TL1,
ENSG00000209082,TRNL1,MT-TL1,
ENSG00000198888,MTND1,MT-ND1,4535
ENSG00000198888,NAD1,MT-ND1,4535
ENSG00000198888,ND1,MT-ND1,4535
ENSG00000210100,MTTI,MT-TI,
ENSG00000210100,trnI,MT-TI,
ENSG00000210107,MTTQ,MT-TQ,
ENSG00000210107,trnQ,MT-TQ,
ENSG00000210112,MTTM,MT-TM,
ENSG00000210112,trnM,MT-TM,
ENSG00000198763,MTND2,MT-ND2,4536
ENSG00000198763,NAD2,MT-ND2,4536
ENSG00000198763,ND2,MT-ND2,4536
ENSG00000210117,MTTW,MT-TW,
ENSG00000210117,trnW,MT-TW,
ENSG00000210127,MTTA,MT-TA,
ENSG00000210127,trnA,MT-TA,
ENSG00000210135,MTTN,MT-TN,
ENSG00000210135,trnN,MT-TN,
ENSG00000210140,MTTC,MT-TC,
ENSG00000210140,trnC,MT-TC,
ENSG00000210144,MTTY,MT-TY,
ENSG00000210144,trnY,MT-TY,
ENSG00000198804,COI,MT-CO1,4512
ENSG00000198804,COX1,MT-CO1,4512
ENSG00000198804,MTCO1,MT-CO1,4512
ENSG00000210151,MTTS1,MT-TS1,
ENSG00000210151,TRNS1,MT-TS1,
ENSG00000210154,MTTD,MT-TD,
ENSG00000210154,trnD,MT-TD,
ENSG00000198712,CO2,MT-CO2,4513
ENSG00000198712,COX2,MT-CO2,4513
ENSG00000198712,MTCO2,MT-CO2,4513
ENSG00000210156,MERRF,MT-TK,
ENSG00000210156,MTTK,MT-TK,
ENSG00000210156,trnK,MT-TK,
ENSG00000228253,A6L,MT-ATP8,4509
ENSG00000228253,ATP8,MT-ATP8,4509
ENSG00000228253,MTATP8,MT-ATP8,4509
ENSG00000198899,ATP6,MT-ATP6,4508
ENSG00000198899,ATPase-6,MT-ATP6,4508
ENSG00000198899,MTATP6,MT-ATP6,4508
ENSG00000198899,RP,MT-ATP6,4508
ENSG00000198899,Su6m,MT-ATP6,4508
ENSG00000198938,CO3,MT-CO3,4514
ENSG00000198938,COIII,MT-CO3,4514
ENSG00000198938,COX3,MT-CO3,4514
ENSG00000198938,MTCO3,MT-CO3,4514
ENSG00000210164,MTTG,MT-TG,
ENSG00000210164,trnG,MT-TG,
ENSG00000198840,MTND3,MT-ND3,4537
ENSG00000198840,NAD3,MT-ND3,4537
ENSG00000198840,ND3,MT-ND3,4537
ENSG00000210174,MTTR,MT-TR,
ENSG00000210174,trnR,MT-TR,
ENSG00000212907,MTND4L,MT-ND4L,4539
ENSG00000212907,NAD4L,MT-ND4L,4539
ENSG00000212907,ND4L,MT-ND4L,4539
ENSG00000198886,LHON,MT-ND4,4538
ENSG00000198886,MTND4,MT-ND4,4538
ENSG00000198886,NAD4,MT-ND4,4538
ENSG00000198886,ND4,MT-ND4,4538
ENSG00000210176,MTTH,MT-TH,
ENSG00000210176,trnH,MT-TH,
ENSG00000210184,MTTS2,MT-TS2,
ENSG00000210184,RP8,MT-TS2,
ENSG00000210184,TRNS2,MT-TS2,
ENSG00000210191,MTTL2,MT-TL2,
ENSG00000210191,TRNL2,MT-TL2,
ENSG00000198786,MTND5,MT-ND5,4540
ENSG00000198786,NAD5,MT-ND5,4540
ENSG00000198786,ND5,MT-ND5,4540
ENSG00000198695,MTND6,MT-ND6,4541
ENSG00000198695,NAD6,MT-ND6,4541
ENSG00000198695,ND6,MT-ND6,4541
ENSG00000210194,MTTE,MT-TE,
ENSG00000210194,trnE,MT-TE,
ENSG00000198727,COB,MT-CYB,4519
ENSG00000198727,CYTB,MT-CYB,4519
ENSG00000198727,MTCYB,MT-CYB,4519
ENSG00000198727,UQCR3,MT-CYB,4519
ENSG00000210195,LIMM,MT-TT,
ENSG00000210195,MTTT,MT-TT,
ENSG00000210195,trnT,MT-TT,
ENSG00000210196,MTTP,MT-TP,
ENSG00000210196,trnP,MT-TP,
ENSG00000283061,,AC215522.3,
ENSG00000229107,FAM108A5,ABHD17AP4,
ENSG00000229107,FAM108A5P,ABHD17AP4,
ENSG00000211789,,TRAV12-2,
ENSG00000279919,,AC068880.5,
ENSG00000145220,ZC2HC2,LYAR,55646
ENSG00000145220,ZLYAR,LYAR,55646
ENSG00000227264,,ACTR3BP5,
ENSG00000205858,,LRRC72,100506049
ENSG00000273753,KIR15,KIR2DP1,
ENSG00000273753,KIR2DL6,KIR2DP1,
ENSG00000273753,KIRY,KIR2DP1,
ENSG00000273753,KIRZ,KIR2DP1,
ENSG00000225542,,ZNF385D-AS1,
ENSG00000282572,,AC215522.2,
ENSG00000234541,,CHEK2P5,
ENSG00000151789,FLJ22419,ZNF385D,79750
ENSG00000151789,ZNF659,ZNF385D,79750
ENSG00000237445,,AL359771.1,
ENSG00000211790,,TRAV8-4,
ENSG00000273644,,AC215522.1,
ENSG00000227679,,AL133173.1,
ENSG00000250039,,AC096719.1,
ENSG00000217261,,POM121L4P,
ENSG00000233832,,AL590623.1,
ENSG00000235062,BCRL5,BCRP5,
ENSG00000232325,,AC093627.1,
ENSG00000242611,,AC093627.6,
ENSG00000229485,,KSR1P1,
ENSG00000272537,,AC005014.3,
ENSG00000287883,,AC093627.22,
ENSG00000154813,DELGIP,DPH3,285381
ENSG00000154813,DELGIP1,DPH3,285381
ENSG00000154813,DESR1,DPH3,285381
ENSG00000154813,DPH3A,DPH3,285381
ENSG00000154813,KTI11,DPH3,285381
ENSG00000154813,MGC20197,DPH3,285381
ENSG00000154813,ZCSL2,DPH3,285381
ENSG00000230891,,LINC00692,
ENSG00000171243,DAND7,SOSTDC1,25928
ENSG00000171243,DKFZp564D206,SOSTDC1,25928
ENSG00000171243,USAG1,SOSTDC1,25928
ENSG00000250752,,RPL23AP96,
ENSG00000260370,,AC215217.1,
ENSG00000242474,,AC093627.5,
ENSG00000164822,DEF6,DEFA6,1671
ENSG00000164822,HD-6,DEFA6,1671
ENSG00000237592,IGKV1/OR10-1,IGKV1OR10-1,
ENSG00000101220,FLJ20550,C20orf27,54976
ENSG00000271650,,AL031601.1,
ENSG00000254625,,AF233439.2,
ENSG00000223351,,ZNF385D-AS2,
ENSG00000237297,,AL713922.1,
ENSG00000240859,,AC093627.4,
ENSG00000164821,DEF4,DEFA4,1669
ENSG00000164821,HP-4,DEFA4,1669
ENSG00000261795,,AC093627.7,
