Gene stable ID,Gene name,Gene Synonym,NCBI gene (formerly Entrezgene) ID
SPRRNA.50,,,
SPAC212.11,tlh1,,2541932
SPNCRNA.1095,,,
SPCC1884.02,nic1,,2539250
SPBC1778.08c,arc3,,2540144
SPCC757.02c,,,2539110
SPCC757.03c,hsp3101,,2539466
SPNCRNA.450,,,
SPAC212.02,,,2542050
SPCC757.07c,ctt1,,2539418
SPAC977.02,,,2543349
SPCC757.11c,,,2538803
SPNCRNA.1102,,,
SPBC1778.10c,ppk21,,2539807
SPCC613.03,,,2539402
SPAC977.05c,,,2543096
SPNCRNA.1103,rpl902-antisense-1,,
SPBC4C3.09,,,2540859
SPAC977.08,,,2543330
SPCC613.07,,,2539305
SPNCRNA.1105,rhp16-antisense-1,,
SPBC4C3.08,mug136,,2541006
SPAC977.11,,,2543234
SPCC330.02,rhp7,,2539094
SPAC977.12,,,2543314
SPBC4C3.06,syp1,,2540862
SPCC330.06c,pmp20,,2538981
SPBC460.03,vba2,,
SPNCRNA.455,,,
SPBC405.03c,,,2540974
SPCC320.14,sry1,,2538738
SPAC977.15,,,2543311
SPBC405.05,atg16,,2540530
SPNCRNA.456,,,
SPNCRNA.541,SPBC405.06-antisense-2,,
SPCC320.05,,,2538858
SPNCRNA.415,,,
SPCC320.04c,gem1,,2538910
SPBC609.01,,,2540838
SPCC1235.01,,,2539159
SPSNORNA.45,snR93,,
SPNCRNA.1117,fft2-antisense-1,,
SPAC977.17,,,2543301
SPNCRNA.37,prl37,,
SPBC776.03,,,2541148
SPNCRNA.138,,,
SPNCRNA.1586,sec2302-antisense-1,,
SPNCRNA.603,,,
SPBC776.07,mam33,,2541189
SPAC1F8.01,ght3,,2541758
SPAC1F8.02c,shu1,,2541821
SPCC1235.06,sif1,,2539080
SPNCRNA.604,,,
SPNCRNA.606,isp3-antisense-1,,
SPCC1235.08c,pdh1,,2539043
SPAC1F8.08,,,2541747
SPCC1235.17,,,14217332
SPCC548.04,urm1,,2538765
SPAC11D3.04c,,,2543007
SPCC794.10,ugp1,,2539585
SPBC776.12c,hsk1,,2541165
SPAC11D3.08c,,,2542911
SPNCRNA.1125,,,
SPAC11D3.10,,,2542999
SPCC553.04,cyp9,,2539557
SPNCRNA.1129,,,
SPAC11D3.13,hsp3104,,2542927
SPNCRNA.147,,,
SPBC776.14,plh1,,2541187
SPAC5H10.03,,,2541759
SPCC736.02,,,2539443
SPBC19F8.04c,lcl3,,2540556
SPAC5H10.07,,,2542699
SPNCRNA.614,SPAC5H10.09c-antisense-1,,
SPBC19F8.07,mcs6,,2540471
SPCC594.01,,,2538708
SPSNORNA.49,snR97,,
SPNCRNA.1134,SPCC594.03-antisense-1,,
SPNCRNA.618,gpi7-antisense-1,,
SPBC25H2.14,mug16,,2540482
SPAC13G6.13,,,2542859
SPBC25H2.08c,mrs2,,2540385
SPBC460.02c,,,
SPCC594.06c,vsl1,,2538847
SPBC25H2.05,egd2,,2540432
SPBC460.04c,,,
SPAC24B11.05,,,2541562
SPBC25H2.02,trs1,,2540550
SPCC594.07c,bqt3,,2539582
SPCC1682.05c,srp68,,2539391
SPBC20F10.03,,,2540757
SPCC1682.06,,,2539128
SPCC1682.07,ssl1,,2539194
SPCC1682.09c,ggc1,,2538713
SPCC1682.15,mug122,,2539235
SPBC460.01c,,,
SPBC460.05,,,
SPCC1682.16,rpt4,,2539189
SPBC20F10.06,mad2,,2540589
SPCC4G3.09c,gyp3,,2539298
SPNCRNA.04,prl4,,
SPCC4G3.06c,mrpl4,,2539502
SPCC4G3.02,aph1,,2539292
SPBC20F10.07,,,2540703
SPMTR.01,mat2-Pc,,
SPCC364.06,nap1,,2539538
SPMTR.04,mat3-Mc,,2540048
SPCC364.05,vps3,,2539519
SPBC17D11.04c,nto1,,2540077
SPAC24B11.06c,sty1,,2541652
SPNCRNA.36,prl36,,
SPAC24B11.07c,,,2541561
SPCC364.03,rpl1702,,2539013
SPNCRNA.142,,,
SPBC17D11.08,,,2539614
SPCC970.11c,wtf9,,2539347
SPBC17D1.02,dph2,,2539788
SPMTR.02,mat2-Pi,,
SPCC970.09,sec8,,2539407
SPNCRNA.1593,acr1-antisense-1,,
SPMTR.03,mat3-Mm,,2539637
SPMTR.03,mat3-Mm,,3361261
SPAC24B11.11c,sid2,,2541599
SPCC970.04c,mob2,,2539016
SPAC24B11.14,,,2541528
SPCC970.03,cbr1,,2539526
SPNCRNA.1142,mis18-antisense-1,,
SPNCRNA.625,rps2601-antisense-1,,
SPBC11C11.02,imp2,,2540112
SPAC806.03c,rps2601,,2543085
SPCC970.01,rad16,,2538760
SPRRNA.01,21S_rRNA,,
SPAC806.11,,,5802854
SPBC11C11.03,ndc80,,2540097
SPCP31B10.02,,,2539599
SPNCRNA.03,prl3,,
SPNCRNA.144,,,
SPBC11C11.07,rpl1801,,2539678
SPCP31B10.03c,med31,,2539504
SPNCRNA.628,,,
SPNCRNA.580,tdp1-antisense-1,,
SPNCRNA.1595,,,
SPNCRNA.145,,,
SPCP31B10.07,eft202,,2539544
SPCP31B10.08c,rpl35a,,2539518
SPAC806.05,,,2543073
SPMIT.02,,,1669527
SPCC962.05,ast1,,2539485
SPNCRNA.630,,,
SPNCRNA.1143,SPCC1672.03c-antisense-1,,
SPBC3B8.03,,,2540908
SPAC1639.02c,trk2,,3361385
SPSNORNA.33,sno16,,
SPCC1672.04c,cox19,,2538939
SPAC1F5.07c,hem14,,2541631
SPBC13A2.01c,cbc2,,2539791
SPMIT.03,,,
SPBC13A2.02,nup82,,2539697
SPCC1672.08c,tfa2,,2539236
SPAC1F5.03c,,,2541471
SPBC13A2.03,,,2540017
SPCC1672.09,,,2539344
SPNCRNA.419,,,
SPNCRNA.467,,,
SPMITTRNATHR.01,,,
SPCC1183.04c,pet127,,2539021
SPCC1183.12,spo13,,9407039
SPAC18B11.10,tup11,,2542299
SPNCRNA.1146,,,
SPNCRNA.27,prl27,,
SPCC31H12.03c,,,2538932
SPCC31H12.07,sec231,,2538699
SPNCRNA.1150,smc6-antisense-1,,
SPMIT.05,cob1,,1669523
SPAC18B11.03c,,,2542613
SPCC16C4.03,pin1,,2539218
SPBC4B4.03,rsc1,,2540749
SPCC16C4.06c,pus3,,2539359
SPCC16C4.05,pop23,,2538975
SPCC16C4.22,,,9406966
SPMIT.06,,,1669529
SPAC12G12.15,sif3,,2543091
SPMITTRNAGLY.01,,,
SPMITTRNALEU.01,,,
SPAC12G12.10,wdr21,,2541535
SPMITTRNATRP.01,,,
SPAC12G12.08,mrpl1602,,2542846
SPSNORNA.29,sno52,,
SPMITTRNALEU.02,,,
SPAC630.04c,,,2543431
SPMITTRNAHIS.01,,,
SPMITTRNAGLN.01,,,
SPAC630.03,arp3,,2543233
SPMITTRNAILE.01,,,
SPBC4B4.04,eif21,,2540999
SPNCRNA.1600,,,
SPMIT.09,atp8,,1669531
SPAC630.05,gyp7,,2543609
SPBC1718.05,trs31,,2540014
SPNCRNA.641,SPAC630.07c-antisense-1,,
SPMITTRNAVAL.01,,,
SPATRNAPRO.01,,,
SPMITTRNAGLU.01,,,
SPAC630.12,,,2543429
SPBPB7E8.01,,,2541357
SPMIT.11,cox2,,1669525
SPAC1751.01c,gti1,,2542344
SPCC16C4.11,pef1,,2539366
SPAC1751.02c,rsm19,,2542342
SPCC16C4.18c,taf6,,2539133
SPAC31A2.03,mrp11,,2542402
SPBC1105.02c,lys4,,2539815
SPAC31A2.04c,pre1,,2543122
SPBC1105.03c,mrpl1601,,2539752
SPCC18B5.06,dom34,,2539371
SPCC18B5.10c,,,2539362
SPNCRNA.1155,cds1-antisense-1,,
SPCC14G10.04,,,2539216
SPNCRNA.473,,,
SPCC1020.11c,ecm6,,2538978
SPMITTRNALYS.01,,,
SPAC31A2.05c,mis4,,2542657
SPCC1020.08,tyw1,,2539172
SPNCRNA.1159,,,
SPMITTRNAMET.02,,,
SPAC31A2.06,atp25,,2542929
