Gene stable ID,Gene name,Gene Synonym,NCBI gene (formerly Entrezgene) ID
YPL071C,,,856034
YLL050C,COF1,,850676
YMR172W,HOT1,,855208
YOR185C,GSP2,CNR2,854357
YLL032C,,,850627
YBR225W,,,852526
YEL041W,YEF1,,856670
YOR237W,HES1,OSH5,854412
YMR027W,,,855042
YBR182C-A,,,1466446
YKL103C,,APE1,853758
YKL103C,,API,853758
YKL103C,,YSC1,853758
YOL048C,RRT8,,854109
tG(GCC)O1,,,
YIR015W,RPR2,,854832
YNR017W,TIM23,MAS6,855751
YNR017W,TIM23,MIM23,855751
YNR017W,TIM23,MPI3,855751
tD(GUC)Q,,,
YBL055C,YBL055C,,852225
tL(UAA)K,,,
YML089C,,,
YOL144W,NOP8,,854021
snR8,SNR8,,
YDL246C,SOR2,,851351
YDL243C,AAD4,,851354
YDR387C,CIN10,,851995
YMR290C,HAS1,,855335
YOR082C,,,
YCR031C,RPS14A,CRY1,850397
YCR031C,RPS14A,RPL59,850397
YBR293W,VBA2,,852596
YJL160C,PIR5,,853280
YBR223W-A,,,
YMR139W,RIM11,GSK3,855170
YMR139W,RIM11,MDS1,855170
YNL105W,RRT16,,
YDL094C,,,
YDR438W,THI74,,852048
YDR523C,SPS1,,852135
YDR542W,PAU10,,852155
YIL156W-A,,,
YLR466W,YRF1-4,YRF1,851187
YPL208W,RKM1,,855893
YLR054C,OSW2,,850743
YER011W,TIR1,SRP1,856729
YLR437C,DIF1,,851157
YPL102C,,,
YNR069C,BSC5,,855806
RUF22,RUF22,,
YDR492W,IZH1,,852102
YIL115W-A,,,
YMR191W,SPG5,,855229
YIL086C,,,
YOL072W,THP1,BUD29,854082
YOR114W,,,854281
YIL156W-B,,,3628034
YHR094C,HXT1,HOR4,856494
YOL085C,,,
YFL031C-A,YFL031C-A,,
YHL031C,GOS1,,856354
YOR385W,,,854567
YGL087C,MMS2,,852793
YMR244C-A,COA6,,855287
YNL306W,MRPS18,,855410
YOR214C,SPR2,,854389
YAL037W,,,851194
tT(AGU)I2,,,
YLR217W,,,
YLL056C,,,850670
YOL119C,MCH4,,854030
YJL204C,RCY1,,853226
YAL016W,TPD3,FUN32,851217
YIL146C,ATG32,ECM37,854660
YCL011C,GBP2,RLF6,850346
YLR128W,DCN1,,850819
YKL131W,,,
tV(AAC)K1,,,
YDR018C,,,851581
YOR019W,,,854184
YNL288W,CAF40,,855428
YCL040W,GLK1,HOR3,850317
YER158W-A,,,
